,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
662,132,2,3,5,8,0
663,132,2,4,0,7,0
664,132,2,5,0,7,0
665,133,3,0,0,4,0
666,133,3,1,0,7,0
667,133,3,2,11,7,0
668,133,3,4,27,5,0
669,133,3,5,0,4,0
670,134,3,0,0,5,0
671,134,3,1,0,4,0
672,134,3,2,17,5,0
673,134,3,4,4,7,0
674,134,3,5,0,7,0
675,135,2,0,0,7,0
676,135,2,1,0,4,0
677,135,2,3,16,7,0
678,135,2,4,0,8,0
679,135,2,5,0,7,0
680,136,2,0,0,5,0
681,136,2,1,0,5,0
682,136,2,3,30,6,0
683,136,2,4,2,6,0
684,136,2,5,0,6,0
685,137,2,0,0,5,0
686,137,2,1,0,6,0
687,137,2,3,11,5,0
688,137,2,4,0,5,0
689,137,2,5,0,5,0
690,138,2,0,0,8,0
691,138,2,1,0,4,0
692,138,2,3,12,8,0
693,138,2,4,4,7,0
694,138,2,5,0,7,0
695,139,3,0,0,3,0
696,139,3,1,0,5,0
697,139,3,2,20,8,0
698,139,3,4,2,6,0
699,139,3,5,0,5,0
700,140,2,0,0,5,0
701,140,2,1,0,6,0
702,140,2,3,39,5,0
703,140,2,4,4,5,0
704,140,2,5,0,5,0
705,141,3,0,0,5,0
706,141,3,1,0,4,0
707,141,3,2,37,4,0
708,141,3,4,3,7,0
709,141,3,5,0,7,0
710,142,3,0,0,7,0
711,142,3,1,0,9,0
712,142,3,2,15,9,0
713,142,3,4,0,2,0
714,142,3,5,0,2,0
715,143,3,0,0,6,0
716,143,3,1,0,4,0
717,143,3,2,22,5,0
718,143,3,4,5,7,0
719,143,3,5,0,6,0
720,144,3,0,0,5,0
721,144,3,1,0,5,0
722,144,3,2,31,5,0
723,144,3,4,6,6,0
724,144,3,5,0,6,0
725,145,2,0,0,7,0
726,145,2,1,0,3,0
727,145,2,3,12,7,0
728,145,2,4,0,8,0
729,145,2,5,0,8,0
730,146,3,0,0,3,0
731,146,3,1,0,5,0
732,146,3,2,14,5,0
733,146,3,4,18,6,0
734,146,3,5,0,6,0
735,147,3,0,0,5,0
736,147,3,1,0,5,0
737,147,3,2,20,5,0
738,147,3,4,0,6,0
739,147,3,5,0,6,0
740,148,3,0,0,0,0
741,148,3,1,0,7,0
742,148,3,2,38,7,0
743,148,3,4,0,4,0
744,148,3,5,0,4,0
745,149,2,0,0,8,0
746,149,2,1,0,4,0
747,149,2,3,3,8,0
748,149,2,4,0,7,0
749,149,2,5,0,7,0
750,150,3,0,0,3,0
751,150,3,1,0,5,0
752,150,3,2,18,6,0
753,150,3,4,1,6,0
754,150,3,5,0,6,0
755,151,3,0,0,3,0
756,151,3,1,0,8,0
757,151,3,2,14,8,0
758,151,3,4,0,3,0
759,151,3,5,0,3,0
760,152,2,0,0,9,0
761,152,2,1,0,2,0
762,152,2,3,15,9,0
763,152,2,4,0,10,0
764,152,2,5,0,10,0
765,153,3,0,0,3,0
766,153,3,1,0,5,0
767,153,3,2,26,6,0
768,153,3,4,0,6,0
769,153,3,5,0,6,0
770,154,3,0,0,5,0
771,154,3,1,0,7,0
772,154,3,2,38,7,0
773,154,3,4,8,4,0
774,154,3,5,0,4,0
775,155,3,0,0,1,0
776,155,3,1,0,6,0
777,155,3,2,25,7,0
778,155,3,4,2,5,0
779,155,3,5,0,4,0
780,156,2,0,0,7,0
781,156,2,1,0,4,0
782,156,2,3,15,7,0
783,156,2,4,1,7,0
784,156,2,5,0,7,0
785,157,3,0,0,4,0
786,157,3,1,0,6,0
787,157,3,2,24,6,0
788,157,3,4,5,6,0
789,157,3,5,0,5,0
790,158,2,0,0,4,0
791,158,2,1,0,6,0
792,158,2,3,28,5,0
793,158,2,4,1,5,0
794,158,2,5,0,5,0
795,159,3,0,0,3,0
796,159,3,1,0,7,0
797,159,3,2,13,7,0
798,159,3,4,0,5,0
799,159,3,5,0,4,0
800,160,3,0,0,4,0
801,160,3,1,0,7,0
802,160,3,2,13,7,0
803,160,3,4,12,4,0
804,160,3,5,0,4,0
805,161,2,0,0,5,0
806,161,2,1,0,5,0
807,161,2,3,31,5,0
808,161,2,4,3,6,0
809,161,2,5,0,6,0
810,162,3,0,0,4,0
811,162,3,1,0,5,0
812,162,3,2,23,6,0
813,162,3,4,7,6,0
814,162,3,5,0,6,0
815,163,2,0,0,7,0
816,163,2,1,0,4,0
817,163,2,3,3,7,0
818,163,2,4,3,8,0
819,163,2,5,0,7,0
820,164,2,0,0,7,0
821,164,2,1,0,2,0
822,164,2,3,21,7,0
823,164,2,4,2,9,0
824,164,2,5,0,8,0
825,165,3,0,0,4,0
826,165,3,1,0,5,0
827,165,3,2,19,6,0
828,165,3,4,1,6,0
829,165,3,5,0,6,0
830,166,2,0,0,7,0
831,166,2,1,0,2,0
832,166,2,3,13,7,0
833,166,2,4,0,8,0
834,166,2,5,0,8,0
835,167,2,0,0,4,0
836,167,2,1,0,6,0
837,167,2,3,22,4,0
838,167,2,4,0,6,0
839,167,2,5,0,5,0
840,168,2,0,0,6,0
841,168,2,1,0,4,0
842,168,2,3,6,7,0
843,168,2,4,0,7,0
844,168,2,5,0,7,0
845,169,2,0,0,9,0
846,169,2,1,0,3,0
847,169,2,3,3,9,0
848,169,2,4,0,8,0
