,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
267,53,4,2,30,8,0
268,53,4,3,12,10,0
269,53,4,5,0,2,0
270,54,2,0,0,7,0
271,54,2,1,1,9,0
272,54,2,3,16,7,0
273,54,2,4,0,10,0
274,54,2,5,0,10,0
275,55,3,0,0,7,0
276,55,3,1,0,4,0
277,55,3,2,38,9,0
278,55,3,4,1,9,0
279,55,3,5,1,9,0
280,56,3,0,0,8,0
281,56,3,1,1,8,0
282,56,3,2,13,9,0
283,56,3,4,8,7,0
284,56,3,5,1,5,0
285,57,3,0,0,4,0
286,57,3,1,0,6,0
287,57,3,2,33,6,0
288,57,3,4,2,5,0
289,57,3,5,0,6,0
290,58,3,0,0,8,0
291,58,3,1,1,7,0
292,58,3,2,14,9,0
293,58,3,4,6,9,0
294,58,3,5,0,8,0
295,59,2,0,0,6,0
296,59,2,1,2,7,0
297,59,2,3,21,11,21
298,59,2,4,6,8,0
299,59,2,5,0,8,0
300,60,3,0,1,8,0
301,60,3,1,2,11,2
302,60,3,2,25,8,0
303,60,3,4,4,10,0
304,60,3,5,0,8,0
305,61,3,0,1,8,0
306,61,3,1,1,8,0
307,61,3,2,16,8,0
308,61,3,4,1,3,0
309,61,3,5,0,3,0
310,62,3,0,0,6,0
311,62,3,1,0,5,0
312,62,3,2,34,8,0
313,62,3,4,1,8,0
314,62,3,5,0,5,0
315,63,2,0,0,7,0
316,63,2,1,0,6,0
317,63,2,3,23,4,0
318,63,2,4,3,9,0
319,63,2,5,0,6,0
320,64,4,0,0,7,0
321,64,4,1,0,9,0
322,64,4,2,12,10,1
323,64,4,3,42,4,0
324,64,4,5,0,6,0
325,65,2,0,0,7,0
326,65,2,1,0,6,0
327,65,2,3,39,6,0
328,65,2,4,2,7,0
329,65,2,5,0,8,0
330,66,4,0,0,7,0
331,66,4,1,0,9,0
332,66,4,2,14,11,14
333,66,4,3,25,7,0
334,66,4,5,0,3,0
335,67,3,0,0,5,0
336,67,3,1,1,7,0
337,67,3,2,36,7,0
338,67,3,4,2,8,0
339,67,3,5,0,8,0
340,68,4,0,0,9,0
341,68,4,1,1,7,0
342,68,4,2,25,6,0
343,68,4,3,30,6,0
344,68,4,5,0,7,0
345,69,2,0,0,8,0
346,69,2,1,1,9,0
347,69,2,3,17,5,0
348,69,2,4,0,9,0
349,69,2,5,0,8,0
350,70,3,0,0,8,0
351,70,3,1,0,7,0
352,70,3,2,17,10,1
353,70,3,4,13,5,0
354,70,3,5,0,7,0
355,71,2,0,0,5,0
356,71,2,1,0,7,0
357,71,2,3,26,4,0
358,71,2,4,0,7,0
359,71,2,5,0,10,0
360,72,3,0,0,8,0
361,72,3,1,0,5,0
362,72,3,2,32,7,0
363,72,3,4,14,5,0
364,72,3,5,0,7,0
365,73,3,0,1,7,0
366,73,3,1,2,5,0
367,73,3,2,21,6,0
368,73,3,4,3,8,0
369,73,3,5,0,6,0
370,74,3,0,0,10,0
371,74,3,1,0,7,0
372,74,3,2,9,10,1
373,74,3,4,10,10,1
374,74,3,5,1,8,0
375,75,2,0,0,7,0
376,75,2,1,1,8,0
377,75,2,3,12,10,0
378,75,2,4,2,9,0
379,75,2,5,0,6,0
380,76,4,0,0,7,0
381,76,4,1,0,6,0
382,76,4,2,29,7,0
383,76,4,3,14,8,0
384,76,4,5,0,3,0
385,77,2,0,0,9,0
386,77,2,1,1,9,0
387,77,2,3,8,9,0
388,77,2,4,3,9,0
389,77,2,5,0,7,0
390,78,3,0,0,8,0
391,78,3,1,0,6,0
392,78,3,2,31,4,0
393,78,3,4,3,7,0
394,78,3,5,0,5,0
395,79,4,0,0,7,0
396,79,4,1,1,9,0
397,79,4,2,24,10,1
398,79,4,3,35,4,0
399,79,4,5,0,7,0
400,80,2,0,0,8,0
401,80,2,1,0,5,0
402,80,2,3,17,9,0
403,80,2,4,2,9,0
404,80,2,5,0,9,0
405,81,4,0,0,8,0
406,81,4,1,1,8,0
407,81,4,2,12,10,0
408,81,4,3,31,6,0
409,81,4,5,0,4,0
410,82,2,0,0,7,0
411,82,2,1,2,9,0
412,82,2,3,29,9,0
413,82,2,4,2,9,0
414,82,2,5,0,7,0
415,83,3,0,1,5,0
416,83,3,1,1,7,0
417,83,3,2,20,9,1
418,83,3,4,4,7,0
419,83,3,5,1,7,0
420,84,3,0,0,8,0
421,84,3,1,0,7,0
422,84,3,2,17,8,0
423,84,3,4,0,6,0
424,84,3,5,0,5,0
425,85,3,0,0,8,0
426,85,3,1,0,8,0
427,85,3,2,14,9,0
428,85,3,4,1,3,0
429,85,3,5,0,4,0
430,86,2,0,0,5,0
431,86,2,1,0,7,0
432,86,2,3,16,9,0
433,86,2,4,0,10,0
434,86,2,5,0,8,0
435,87,3,0,0,7,0
436,87,3,1,1,5,0
437,87,3,2,18,8,0
438,87,3,4,3,7,0
439,87,3,5,0,5,0
440,88,3,0,0,7,0
441,88,3,1,0,7,0
442,88,3,2,19,9,0
443,88,3,4,38,4,0
444,88,3,5,0,5,0
445,89,2,0,0,7,0
446,89,2,1,3,6,0
447,89,2,3,23,6,0
448,89,2,4,0,7,0
449,89,2,5,1,6,0
450,90,3,0,0,7,0
451,90,3,1,0,8,0
452,90,3,2,18,7,0
453,90,3,4,2,8,0
454,90,3,5,0,7,0
455,91,3,0,0,9,0
456,91,3,1,0,5,0
457,91,3,2,42,9,0
458,91,3,4,0,5,0
459,91,3,5,0,6,0
460,92,2,0,0,5,0
461,92,2,1,1,4,0
462,92,2,3,20,10,3
463,92,2,4,2,7,0
464,92,2,5,2,8,0
465,93,2,0,0,8,0
466,93,2,1,0,7,0
467,93,2,3,29,9,0
468,93,2,4,10,7,0
469,93,2,5,0,3,0
470,94,2,0,0,8,0
471,94,2,1,0,5,0
472,94,2,3,16,6,0
473,94,2,4,4,6,0
474,94,2,5,0,6,0
475,95,2,0,0,7,0
476,95,2,1,3,9,0
477,95,2,3,27,7,0
478,95,2,4,12,6,0
479,95,2,5,0,4,0
480,96,2,0,0,7,0
481,96,2,1,0,8,0
482,96,2,3,16,11,16
483,96,2,4,3,11,3
484,96,2,5,0,7,0
485,97,3,0,0,5,0
486,97,3,1,1,8,0
487,97,3,2,20,7,0
488,97,3,4,1,8,0
489,97,3,5,0,4,0
490,98,2,0,0,2,0
